company_id,company_name,company_type,company_url,location,telephone,product_description,about_company,product_types,all_product_services,link_prod_services,brands,link_all_brands,primary_company_type,additional_activities,key_personnel,social_media,other_locations,annual_revenue,year_founded,num_employees,url
1315677,"Worldwide Chuck Services, Inc.",Distributor,http://www.worldwidechuck.com,"Aurora, OH 44202",tel://330-562-4509,"Distributor of air & hydraulic cylinders including machine tool & rotating cylinders. Types include low profile cylinders, big bore through hole cylinders, special cylinders, non through hole cylinders & through hole cylinders. Accessories include bearings, coolant collectors, draw bars, draw tubes, filler tubes, seal kits, spindle adaptors & stroke detection. Lubricants include chuck grease. Repairing & rebuilding services available. Used products are also available with warranty up to 12 months.
Additional Hydraulic Cylinders details","Company Description by Thomasnet
Distributor of power & manual lathe chucks, jaws, air & hydraulic cylinders, micrometers, jaw force gages, magnetic chucks & accessories. Chuck parts include master jaws, liners, levers, wedges, plungers & pinions. Specifications include chuck size ranging from 6 in. up to 8 ft. Jaw types include soft top jaws, hard top jaws, face plate jaws, boring mill jaws, collet pads & collet pad jaws. Accessories include faceplates, jaw force gauges, cylinder adaptors, keys & T-nuts, draw tubes, bearings, coolant collectors, draw bars, chuck wrenches, stroke detection, spindle adaptors & part stops. Lubricants include chuck grease. Repairing & rebuilding services available. Used products are also available with warranty up to 12 months.
Company Description by Worldwide Chuck Services, Inc.
WCS began with a commitment to create a new standard in lathe chuck rebuilding and service. We have fulfilled that commitment by constantly offering top quality service and support. In fact, our warranty is the best in the business. We carry a large inventory of new, used and rebuilt lathe chucks, parts, and accessories. 

Lathe chuck repairs are the heart of our business at WCS. We will repair your old, worn lathe chucks or actuators for about half the cost of a new replacement. Our skilled repair specialists will restore chuck tolerances and performance to original OEM specifications -- sometimes better.","['Cylinders: Hydraulic', 'Cylinders: Machine Tool', 'Cylinders: Rotating']","['Chucks and Collets', 'Cylinders', 'Maintenance and Repair Services', 'Actuators', 'Grease', 'Jaws', 'Attachments', 'Bases', 'Blocks', 'Calibration Services', 'Calibrators', 'Calipers', 'Centers', 'Custom Machinery', 'Die Components', 'Distribution Services', 'Gages', 'Grippers', 'Guns', 'Inspection Equipment', 'Inspection Services', 'Lathes', 'Lubricants', 'Machine Tool Parts and Accessories', 'Machine Tools', 'Machinery']",https://www.thomasnet.com/products-services.html?cov=NA&heading=21650809&what=hydraulic+cylinders&cid=1315677&search_position=1&product_family=152502,"['AHD', 'Applied Technical Systems', 'Atlas', 'Ball', 'Bergman', 'Bison-Bial', 'Cushman', 'Flex-E-On', 'Fuji', 'Gamet', 'Gisholt', 'Hardinge', 'Hitachi', 'Howa', 'ITW Workholding', 'Kalamazoo', 'Kametsu', 'Kitagawa', 'Logansport', 'Mag', 'Magnalock', 'Matsumoto', 'Mazak', 'Mitutoyo', 'Mori Seiki', 'N.A. Woodworth', 'New Britain', 'Nikko', 'Nobel', 'Okuma']",https://www.thomasnet.com/brands-carried.html?cov=NA&heading=21650809&what=hydraulic+cylinders&cid=1315677&search_position=1,Distributor,"Custom Manufacturer, Service Company",['Not Available'],,,$1 - 4.9 Mil,1987,1-9,https://www.thomasnet.com/profile/01315677/worldwide-chuck-services-inc.html?cid=1315677&cov=NA&heading=21650809&searchpos=1&what=hydraulic+cylinders
10055126,RAM Industries Inc.,Custom Manufacturer,https://www.ramindustries.com/,"Yorkton, SK S3N3Z4",tel://877-799-1005,"Manufacturer of standard and custom hydraulic cylinders. Types include engineered design, position sensing, stabilizer, thumb, tie-rod, synchronizing, telescopic, mast raising, york line, truck and trailer hoist cylinders. Big bore and heavy duty hydraulic cylinders are also offered. Available in various bore diameters, stroke lengths and pressure ratings. Suitable for crushers, screen decks, conveyors, grizzlies, drilling rigs, catwalks, pipe tubs and mobile cranes. Serves the agriculture, construction, forestry, manufacturing, marine, material handling, mining, oil, gas, transportation and waste management industries.
Additional Hydraulic Cylinders details","Company Description by Thomasnet
Designer and manufacturer of hydraulic cylinders for original equipment manufacturers. Wide range of cylinder styles are available including stabilizers, synchronizing, position sensing customizations and telescopic. Serving the agricultural, construction, forestry, industrial manufacturing, marine, material handling, mining, oil and gas, transportation and waste management industries.
Company Description by RAM Industries Inc.
RAM Industries Inc. is a leader in hydraulic and pneumatic cylinder design and manufacturing. RAM's ability to design and manufacture to a customer's application is our specialty. We have the right hydraulic cylinder for your project, and designs that are engineered to optimize cylinder performance on your equipment.

For over 45 years, RAM has served OEMs in a wide range of applications with custom and innovative cylinder solutions. We have the experience serving a diverse mix of industries, including agriculture, construction, forestry, waste management, industrial manufacturing, material handling, mining, oil and gas, transportation, marine, aerospace, and defense.

RAM's success is built on its engineering and technical expertise. RAM is well-versed in the latest technologies in-cylinder componentry, cylinder design and manufacturing methods to ensure your cylinder functions exactly as required. Our team establishes a close technical rapport with the experts in your organization. Together More... we determine precise cylinder fit and function parameters critical to your equipment's operation. RAM prides itself on building quality cylinders through an ISO 9001 registered system and carefully plans deliveries based on your specific inventory and production timing needs.

 RAM's range of cylinder products and services include smart sensor cylinders, stabilizer cylinders, truck and trailer hoist cylinders, synchronizing cylinders, telescopic cylinders, thumb cylinders, heavy duty and oversize cylinders, mast raising cylinders, York line cylinders,RAMLok Wirelock cylinders, TyRod by RAM cylinders, Piggy-back cylinders, Hitch Jacks, and SAE hydraulic cylinder testing.

 RAM is synonymous with quality built, reliable cylinder solutions. Join the organizations that trust their reputation and equipment performance on the RAM name.

 RAM is your hydraulic cylinder specialist! Less","['Cylinders: Hydraulic', 'Cylinders', 'Cylinders: Air', 'Cylinders: Crane', 'Cylinders: Custom', 'Cylinders: Heavy Duty, Mill Type', 'Cylinders: Hydraulic Telescopic', 'Cylinders: Hydraulic, Position Sensing', 'Cylinders: Large Bore', 'Cylinders: Pneumatic']","['Cylinders', 'Drilling Services', 'Fabrication Services', 'Machining', 'Manufacturing Services', 'Testing Services', 'Turning Services']",https://www.thomasnet.com/products-services.html?cov=NA&heading=21650809&what=hydraulic+cylinders&cid=10055126&search_position=2&product_family=157625,,,Custom Manufacturer,"Manufacturer, Service Company",['Not Available'],"['https://www.linkedin.com/company/ram-industries-inc/', 'https://www.ramindustries.com/blog/default.aspx']",,$10 - 24.9 Mil,1974,50-99,https://www.thomasnet.com/profile/10055126/ram-industries-inc.html?cid=10055126&cov=NA&heading=21650809&searchpos=2&what=hydraulic+cylinders
1010077,"Fluid Tech Hydraulics, Inc.",Custom Manufacturer,https://www.fluidtechhydraulics.com/,"Sacramento, CA 95828",tel://916-681-0888,"Manufacturer and distributor of standard and custom hydraulic cylinders. Types include re-tubed, single acting bore sealed, low friction displacement, petroleum, synthetic and water-based cylinders. Available with pressure up to 10,000 psi.
Additional Hydraulic Cylinders details","Company Description by Thomasnet
Manufacturer and distributor of standard and custom hydraulic equipment and supplies. Various products include adapters, breakers, clamps, clips, connectors, couplings, cylinders, filters, flanges, flowmeters, gages, hose, pumps, seals, testers, valves and cable wrap. Capabilities include machining, milling, turning, boring, welding, fabrication, band sawing, designing and repair.","['Cylinders: Hydraulic', 'Cylinders', 'Cylinders: Pneumatic']","['Machining', 'Cylinders', 'Hose', 'Milling Services', 'Adapters', 'Connectors', 'Couplers and Couplings', 'Fittings', 'Hydraulic Equipment', 'Maintenance and Repair Services', 'Motors', 'Presses', 'Tubes', 'Turning Services', 'Valves', 'Welding Services', 'Assembly Services', 'Boring Services', 'Breakers', 'Broaching Services', 'Clamps', 'Clips', 'Controls and Controllers', 'Cutting Services', 'Drilling Services', 'Fabrication Services']",https://www.thomasnet.com/products-services.html?cov=NA&heading=21650809&what=hydraulic+cylinders&cid=1010077&search_position=3&product_family=151461,"['Allied', 'Anchor Fluid Power', 'BVA Hydraulics', 'Donaldson', 'Europower', 'Hedland', 'Hercules', 'Inserta', 'Midland', 'Noshok', 'Tompkins Industries', 'ZSI-Foster']",,Custom Manufacturer,"Distributor, Manufacturer, Service Company",['Not Available'],,,$1 - 4.9 Mil,1989,10-49,https://www.thomasnet.com/profile/01010077/fluid-tech-hydraulics-inc.html?cid=1010077&cov=NA&heading=21650809&searchpos=3&what=hydraulic+cylinders
30082354,"Aries Engineering Co., Inc",Manufacturer,https://www.hypercyl.com/,"Dundee, MI 48131",tel://734-529-8855,"Manufacturer of standard and custom inline, satellite, tandem and high speed hydro-pneumatic press special cylinders for piercing, riveting, notching, clamping, marking, coining, assembly and forming applications. Features vary depending upon model, including linear force outputs, three moving components, internal shock pads, fill/high pressure gage couplings, NFPA standard or universal mounting styles, control circuits, tie rods and heavy-duty construction. Options such as die set couplings, rod locks, PT/ELT sensors, gage kits, press frames, manual/automatic units, low voltage linear transducers with cable, load cells with cable and signature analysis controllers are available. Rod end style, port location, approach and power stroke length options are also offered upon request. Three year warranty.
Additional Hydraulic Cylinders details","Company Description by Thomasnet
Manufacturer of standard and custom hydra-pneumatic cylinders, servo actuators and press systems. Low profile, C and H-frame presses are available. Inline, satellite, tandem, compact satellite and high speed cylinders are offered. Pierce units, lubricant trays and force over distance monitoring systems are also manufactured. Suitable for piercing, riveting, clinching, notching, clamping, staking, hemming, shearing, straightening, marking, coining, forming and assembly applications. Serves the automotive, aerospace, medical, electronics, electrical, appliance, assembly, manufacturing, defense and transportation industries. Presses meet ANSI standards. Actuators are made in the USA.
Company Description by Aries Engineering Co., Inc
Aries Engineering/HyperCyl was incorporated in 1994. We are a family-owned company in Dundee, MI. Aries Engineering manufactures hydra-pneumatic cylinders, electro-mechanical actuators, and presses and assembly cells incorporating our actuators.

HyperCyl cylinders deliver up to 200 tons of force without the use of hydraulic cylinders and power units.

HyperCyl hydra-pneumatic cylinders are completely self-contained, and can deliver up to 200 tons force, using shop air. Total strokes can be as high as 24 inches. Power strokes can be as high as 6 inches. There are no hydraulic power units with these, and no external reservoir, which allows HyperCyl to be mounted in any attitude. The HyperCyl hydra-pneumatic cylinders are controlled by two 4-way pneumatic valves. We can enhance our hydra-pneumatic cylinders with an LVDT and load cell (IntelliCyl) for force/distance monitoring and signature analysis with the HyperView-Press.

The HyperCyl-ema (electro mechanical actuator) can deliver up to 25 More... tons. These are servo controlled ball screw or roller screw actuators.

 Applications where HyperCyl shines are:

 - Part insertion (we are bushing insertion and bearing insertion experts). 

 - Punching and Piercing

 - Riveting and Staking

 - Clinching

 - Crimping

 - Forming

 - Flaring

 HyperCyl is advantageous over hydraulics in these areas:

 - Acquisition cost savings

 - Space savings (real estate)

 - Nearly no heat and noise

 - Speed of actuation

 HyperCyl is advantageous over multi-stage pneumatic cylinders because HyperCyl achieves the force needed while using significantly less air, and having a significantly smaller footprint.

 HyperCyl cylinders have no internal springs which can break. No springs allow for no stored energy one-stop.

 Aries Engineering welcomes special applications. We have made more specials than standard cylinders, and at very fair prices.

 HyperCyl hydra-pneumatic cylinders have a limited lifetime warranty. Less","['Cylinders: Hydraulic', 'Cylinders: Pneumatic', 'Cylinders: High Pressure', 'Cylinders: Air, Adjustable Stroke', 'Cylinders: Intensifier', 'Cylinders: Press', 'Cylinders', 'Cylinders: Adjustable Stroke', 'Cylinders: Air', 'Cylinders: Air Tandem']","['Actuators', 'Cylinders', 'Presses', 'Assembly Machinery', 'Automation Systems', 'Custom Machinery', 'Forming Machinery', 'Machinery', 'Markers and Marking Equipment', 'Monitoring Systems', 'Monitors', 'Notchers', 'Piercing Machinery', 'Pneumatic Systems', 'Riveters', 'Staking Equipment', 'Trays']",https://www.thomasnet.com/products-services.html?cov=NA&heading=21650809&what=hydraulic+cylinders&cid=30082354&search_position=4&product_family=152449,"['HyperCyl', 'HyperCyl-EMA', 'HyperPierce']",,Manufacturer,Custom Manufacturer,['Not Available'],['http://www.youtube.com/results?search_query=Hypercyl&sm=3'],,$5 - 9.9 Mil,1994,10-49,https://www.thomasnet.com/profile/30082354/aries-engineering-co-inc.html?cid=30082354&cov=NA&heading=21650809&searchpos=4&what=hydraulic+cylinders
1150392,BDI,Distributor,https://www.bdiexpress.com/us/en/,"Cleveland, OH 44125",tel://216-642-9100,"Distributor of hydraulic & pneumatic cylinders: NFPA tie rod, ISO, inch, metric, compact, rodless, large bore, stainless, round, disposable, custom for diverse markets including automotive, semiconductor, packaging, machine tool, & material handling.
Additional Hydraulic Cylinders details","Company Description by Thomasnet
Represents & provides local inventories on hundreds of thousands of products. Global source for MRO & OEM distribution of bearings, mechanical p/t, electrical p/t, hydraulic & pneumatic p/t, sealants & adhesives, hose & rubber products, conveyor belting, material handling systems, industrial tools & many other industrial products. Specializing in the replacement & application of all types & combinations of devices used in manufacturing facilities.
Company Description by BDI
Our sales and field service forces include highly skilled and trained individuals who specialize in the application of products and services that BDI offers. Working closely with our customers, we provide cost-saving solutions and value-added services including technical expertise, engineering support, repair and inspection, inventory management, product pipeline and storeroom management services.","['Cylinders: Hydraulic', 'Cylinders', 'Cylinders: Air', 'Cylinders: Electric', 'Cylinders: Pneumatic']","['Bearings', 'Conveyors', 'Motors', 'Transformers', 'Adhesives', 'Gearheads and Gearboxes', 'Gears', 'Additive Manufacturing Services', 'Belts', 'Motor Controllers and Drives', 'Tools', 'COVID-19 Response', 'Heaters', 'Safety Equipment', 'Power Supplies', 'Switches', 'Medical Personal Protective Equipment (PPE)', 'Actuators', 'Hose', 'Sensors / Detectors / Transducers', 'Cylinders', 'Harnesses', 'Bushings', 'Couplers and Couplings']",https://www.thomasnet.com/products-services.html?cov=NA&what=hydraulic+cylinders&heading=21650809&cid=1150392&search_position=5&product_family=151466,,,Distributor,"Service Company, Remanufacturer","['John Ruth, President', 'Carl James, CEO', 'Dan Maisonville, CFO', 'Bill Shepard, Vice President']","['https://www.linkedin.com/company/bdi', 'https://www.twitter.com/bdiusa', 'https://www.facebook.com/279490749665']",https://www.thomasnet.com/branches.html?what=hydraulic+cylinders&heading=21650809&cov=NA&cid=1150392&bloc=NA&WTZO=copro+biz+det,$250 Mil. and over,1935,1000+,https://www.thomasnet.com/branchloc.html?cid=1150392&cov=NA&goto=%2Fprofile%2F01150392%2Fbdi.html&heading=21650809&searchpos=5&what=hydraulic+cylinders
30851480,Innovative Hydraulics LLC,Custom Manufacturer,https://innovativehyd.com/,"Wausau, WI 54401",tel://715-803-2600,"Custom manufacturer of hydraulic cylinders for civil, defense, oil, gas, metallurgy, mining, marine and OEM industries. Available up to 40 in. large bore with operating pressure up to 10,000 psi. Features include single and multi-stage telescopic configurations, corrosion resistance, collar and plunger threads, chrome finished and polished ground piston rods, crown seal on pistons, square ring gland retainers and honed or skived tubing. Made in the USA.
Additional Hydraulic Cylinders details","Company Description by Thomasnet
Custom manufacturer of large bore, single and double acting, single and multi-stage, telescopic, welded design hydraulic cylinders. Multiple re-manufacturing locations located across the US. Serving the civil, defense, oil and gas, metallurgy, mining, marine and OEM industries. All products are designed and manufactured in the USA and include complete part inspection and traceability.
Company Description by Innovative Hydraulics LLC
IH utilizes over 35 years of engineering experience coupled with the most technologically advanced manufacturing equipment, to provide innovative products and solutions to the fluid power needs of it's civil, defense and commercial customers around the world.

Our mission is to build perpetual business relationships by providing innovative and comprehensive solutions thru product design, precision manufacturing, quality control, on-time delivery and unparalleled customer service.

IH's strategic organizational structure brings together an unrivaled collection of education, experience and diversity to form a modern, forward thinking, sustainable enterprise. Our lasting relationships with professionals in fluid power and other engineering disciplines expand our capability as well as our capacity for future growth.","['Cylinders: Hydraulic', 'Cylinders: Hydraulic Telescopic', 'Cylinders: Large Bore', 'Cylinders', 'Cylinders: Custom', 'Cylinders: Heavy Duty, Mill Type', 'Cylinders: Hydraulic, Civil Engineering', 'Cylinders: Long Stroke', 'Cylinders: Marine', 'Cylinders: Metal']","['Cylinders', 'Fluid Power Products', 'Maintenance and Repair Services']",https://www.thomasnet.com/products-services.html?cov=NA&heading=21650809&what=hydraulic+cylinders&cid=30851480&search_position=6&product_family=157625,,,Custom Manufacturer,Service Company,['Not Available'],['https://www.linkedin.com/company/innovative-hydraulics-llc/?viewAsMember=true'],,$1 - 4.9 Mil,2016,10-49,https://www.thomasnet.com/profile/30851480/innovative-hydraulics-llc.html?cid=30851480&cov=NA&heading=21650809&searchpos=6&what=hydraulic+cylinders
129726,HYDAC Technology Corporation,Manufacturer,https://www.hydac-na.com/sites/hydac-na/,"Bethlehem, PA 18017",tel://610-266-0100,"Manufacturer of custom hydraulic cylinders. All designs are tested utilizing CAD technology for 3D modeling and functional analysis and include customized reports and design validation through Finite Element Analysis (FEA). Each unit must pass a series of inspections and functional tests. All cylinders are tested at 150% of the maximum allowable working pressure utilizing high intensity ultraviolet technology.
Additional Hydraulic Cylinders details","Company Description by Thomasnet
Manufacturer of standard and custom products and systems for fluid technology, hydraulics and diagnostics. Products are sold as individual components or as complete engineered packages. Solutions for monitoring and maintaining hydraulic and lube oil cleanliness include hydraulic filters, accumulators, cylinders, electronics, TT controls, filter systems, mounting technology and accessories, breathers and reservoirs, ball valves, coolers and cooling systems, mobile directional control valves, water/process filtrations, cartridge valves and manifolds, compact hydraulics. Industries served include power generation, mobile equipment, steel and heavy industry, offshore shipbuilding and marine technology, pulp and paper, plastics, construction equipment, agricultural equipment, machine tools, mining, aviation, process water, pharmaceutical, food and beverage.
Company Description by HYDAC Technology Corporation
Give us a challenge - anywhere, any time. At HYDAC, our people are geared to help your application design succeed with a wide range of fluid-power products: Hydraulic Filters, Accumulators, Valves, Clamps, Electronics, and Compact Hydraulic Systems.

HYDAC provides fluid power solutions to OEM's, manufacturers and end users of a variety of heavy duty mobile and industrial equipment. These solutions increase the efficiency, longevity and safety of fluid power systems - even under extreme conditions.

Although the demands that industries place on machinery vary depending upon the application - construction and agricultural equipment; offshore; machine tools; pulp and paper industries; forging, mining; aviation; plastic injection molding machines - all types of equipment and systems share one thing in common - the need for improved performance in a cost-effective manner.

At HYDAC, we respond to that need because our company is committed to complete customer satisfaction and to providing high More... quality products. We are further dedicated to maintaining our position as a fluid power leader by satisfying the ever-changing needs of our customers, and to the evolving demands placed on hydraulic systems.

 Our strategy is to anticipate the demands that will be placed on our products when they are applied in the industries we serve, rather than just react to customer demands. Through our ongoing testing and research, HYDAC is constantly and proactively looking to improve upon our current products and to place that same research and experience into our new product designs.

 Many of our products satisfy ISO standards, as well as many other industry standards, certifications and benchmarks. However, the goal of our innovative product line is not just to meet these requirements - our aim is to exceed them.

 In addition to increasing product performance, at HYDAC we also take on the role of finding ways in which our innovations can provide cost savings to our customers over the lifetime of the their equipment, and to assist them in creating more efficient system designs.

 HYDAC offers a wide range of standard products, which are available for fast, prompt delivery. Our extensive line of products and systems for fluid technology, hydraulics and diagnostics are available as individual components or as complete packages. And, if you have a custom application, HYDAC can provide custom solutions that will make you, your design engineer - and accountant - smile.

 We have Division office locations in Bethlehem, Pennsylvania and Glendale Heights, Illinois, and Regional Sales offices across the United States. We are also supported across the country by a nationwide distributor network. And, with our worldwide locations, you can be confident that no matter where your company goes, there will be a HYDAC representative close by to support you. Anywhere, Any time. Less","['Cylinders: Hydraulic', 'Cylinders', 'Cylinders: Custom', 'Cylinders: Heavy Duty, Mill Type', 'Cylinders: High Pressure', 'Cylinders: Large Bore', 'Cylinders: Mill Type, Hydraulic', 'Cylinders: Stainless Steel']","['Filters', 'Cylinders', 'Exchangers', 'Valves', 'Fluid Conditioning Equipment', 'Accumulators', 'Switches', 'Coolers', 'Displays', 'Bladders', 'Clamps', 'Dehydrators', 'Absorbers', 'Actuators', 'Adapters', 'Air Filtration Equipment & Supplies', 'Blocks', 'Brackets', 'Breathers', 'Cartridges', 'Clamping Systems', 'Cleaning Equipment']",https://www.thomasnet.com/products-services.html?cov=NA&what=hydraulic+cylinders&heading=21650809&cid=129726&search_position=7&product_family=152161,['HYDAC'],,Manufacturer,Custom Manufacturer,"['Matthias Mueller, President', 'Scott Baroun, CFO', 'Chris Kolbe, Executive VP Sales & Marketing']","['http://www.hydac-na.com/sites/hydac-na/About-Us/News', 'https://www.youtube.com/user/HYDACAustralia']",https://www.thomasnet.com/branches.html?what=hydraulic+cylinders&heading=21650809&cov=NA&cid=129726&bloc=NA&WTZO=copro+biz+det,Not Available,1963,1000+,https://www.thomasnet.com/branchloc.html?cid=129726&cov=NA&goto=%2Fprofile%2F00129726%2Fhydac-technology-corporation.html&heading=21650809&searchpos=7&what=hydraulic+cylinders
1166920,M & M Rogness Equipment Co.,Distributor,http://www.mmrogness.com/index.html,"Roseville, MN 55113",tel://651-633-0550,"Distributor of hydraulic type cylinders including pancake type, aluminum, brass & stainless steel cylinders. Cylinders are available with 150 psi to 3,000 psi operating pressure & 3/4 in. to 20 in. bores.
Additional Hydraulic Cylinders details","Company Description by Thomasnet
Distributor of cylinders, pumps & valves. Bladder & piston accumulators, filter bags, baskets, filter carts, couplings, filters, fillers, filter, pressure & sight gages, heaters, lubricators, electric motors, regulators, pressure snubbers & suction strainers are also available. Accessories include adapters, brackets, gaskets, plugs, sockets, spacers & switches. Capabilities include designing, system layout, troubleshooting & hydraulic & pneumatic cylinder repair.","['Cylinders: Hydraulic', 'Cylinders: Pneumatic', 'Cylinders', 'Cylinders: Aluminum', 'Cylinders: Corrosion Proof', 'Cylinders: Flanged', 'Cylinders: High Pressure', 'Cylinders: Metal', 'Cylinders: Parker\x99', 'Cylinders: Pressure']","['Cylinders', 'Accumulators', 'Adapters', 'Bags', 'Baskets', 'Boat and Ship Parts', 'Brackets', 'Breathers', 'Caps', 'Couplers and Couplings', 'Drainage Systems', 'Drains', 'Engineering Services', 'Filters', 'Fittings', 'Flanges', 'Fluid Power Products', 'Gages', 'Gaskets', 'Heaters']",https://www.thomasnet.com/products-services.html?cov=NA&heading=21650809&what=hydraulic+cylinders&cid=1166920&search_position=8&product_family=157625,"['Aurora', 'Aurora Air Products', 'Greer', 'Kep-O-seal', 'Kepner', 'Kepsel', 'LeSac', 'Ortman', 'Parker', 'Quick Seal']",https://www.thomasnet.com/brands-carried.html?cov=NA&heading=21650809&what=hydraulic+cylinders&cid=1166920&search_position=8,Distributor,,['Not Available'],,,$1 - 4.9 Mil,1947,10-49,https://www.thomasnet.com/profile/01166920/m-m-rogness-equipment-co.html?cid=1166920&cov=NA&heading=21650809&searchpos=8&what=hydraulic+cylinders
1200093,Oil-Air Products,Distributor,http://www.oilair.com,"Plymouth, MN 55441",tel://888-645-2477,"Distributor of hydraulic cylinders for food processing, machine tool, marine, material handling, medical equipment, construction, infrastructure, transportation, energy, defense, petroleum, biotechnology, pharmaceutical, recycling, packaging, oil and gas industries. Made from steel, aluminum and stainless steel materials. Available in 1 1/8 to 24 in. bore size with custom up to 54 in. Tie rod, welded, telescoping, intensifier and mill type cylinders are offered. JIT delivery.
Additional Hydraulic Cylinders details","Company Description by Thomasnet
Distributor of fluid power products including accumulators, actuators, adapters, breathers, cylinders, filters, fittings, flowmeters, motors, power units, mounts and orifices. Pumps, hose, sensors, detectors, transducers, gages, thermometers, exchangers, joysticks, injectors and coolers are available. Valves, swivels, tubes, regulators, seals and strainers are also offered. Hose assembly fabrication and repair services are provided. Manifolds, hydraulic hose assemblies and lubrication systems are customizable. Serves the food processing, machine tool, marine, material handling, medical equipment, construction, infrastructure, transportation, energy, defense, petroleum, biotechnology, pharmaceutical, recycling, packaging, oil and gas industries. JIT delivery.
Company Description by Oil-Air Products
Our Philosophy

The Oil-Air Products mission is clear. Partner with our customer to offer a unique, quality solution that gives them a competitive edge in their marketplace. We have partnered with the world's leading fluid power manufacturers to ensure that the solution we provide is taking advantage of the latest in fluid power technology and our experienced team is factory trained to integrate and support these products. We understand that our customers have many choices and we look forward to the opportunity to earn your business.

Our History

Since our inception in 1983, Oil-Air Products has been focused on fluid power technical expertise and experience to provide leading edge, quality solutions to our customers. Over the years we have grown to include complete system design and fabrication for the mobile and industrial markets, hose assembly fabrication, fluid power component sales, value added solutions, on-site installation, service and repair. With our continued success and our reputation More... as the Fluid Power Specialists, we continue to expand our corporate capabilities. We recently transitioned to a new 62,000 square foot facility in Plymouth, MN and have also expanded a part of our hose fabrication to a new Willmar, MN location.

 Our People

 At Oil-Air Products, our people are truly our most valuable asset. We have a highly experienced team of degreed fluid power specialists that can assist in all applications of fluid power products. Ongoing education in all aspects of fluid power for our people is key to making sure we are promoting and using the latest in fluid power technology. You can feel confident that you will be working with a team of friendly professionals who have years of experience on providing unique solutions that will give you a competitive edge in your marketplace. Less","['Cylinders: Hydraulic', 'Cylinders', 'Cylinders: Air', 'Cylinders: Aluminum', 'Cylinders: Custom', 'Cylinders: Hydraulic Telescopic', 'Cylinders: Industrial Gas', 'Cylinders: Intensifier', 'Cylinders: ISO', 'Cylinders: Machine Tool']","['Hose', 'Maintenance and Repair Services', 'Valves', 'Manifolds', 'Power Units', 'Pumps', 'Cylinders', 'Hydraulic Equipment', 'Accumulators', 'Actuators', 'Adapters', 'Automation Systems', 'Breathers', 'Cells', 'Clamps', 'Controls and Controllers', 'Coolers', 'Corrosion Resistant Products', 'Counters', 'Couplers and Couplings']",https://www.thomasnet.com/products-services.html?cov=NA&heading=21650809&what=hydraulic+cylinders&cid=1200093&search_position=9&product_family=151604,"['Anchor Fluid Power', 'Comatrol', 'Cross', 'Daman', 'Danfoss', 'Dinamic', 'Donaldson', 'Gates', 'Graco', 'HYDAC', 'Hydronic', 'IMI Norgren', 'Lenz', 'Lodar', 'Manuli', 'Marzocchi', 'Moog', 'Noshok', 'Oilgear', 'Olaer', 'Radiomatic', 'SAI', 'Sheffer', 'Stauff', 'Viking']",,Distributor,"Custom Manufacturer, Service Company",['Not Available'],"['https://www.linkedin.com/company/oil-air-products-llc/about/?viewAsMember=true', 'https://www.twitter.com/OilAirLLC', 'https://www.youtube.com/channel/UCn44NetZ8KV6BiRt6IjXurw', 'https://www.facebook.com/oilairproducts']",,$25 - 49.9 Mil,1983,50-99,https://www.thomasnet.com/profile/01200093/oilair-products.html?cid=1200093&cov=NA&heading=21650809&searchpos=9&what=hydraulic+cylinders
10070932,"Hader, Inc.",Distributor,http://www.haderind.com/index.html,"New Berlin, WI 53151",tel://877-388-2102,"Custom manufacturer & distributor of hydraulic side shift cylinders for material handling applications. Type of cylinders include power steering & tilt cylinders. Remanufactured & new cylinders are also available.
Additional Hydraulic Cylinders details","Company Description by Thomasnet
Custom manufacturer & distributor of hydraulic components for material handling applications. Hydraulic components include cylinders, pumps, valves, steer gears, actuators, torque generators, control units & orbitrols. Remanufactured & new hydraulic components are also available. Capabilities include remanufacturing, testing & repairing.
Company Description by Hader, Inc.
Hader Incorporated has been supplying the material handling industry quality remanufactured and manufactured hydraulic components for almost 50 years. Through attention to detail and in-house manufacturing, Hader insures the quality of the components it sells.","['Cylinders: Hydraulic', 'Cylinders', 'Cylinders: Booster', 'Cylinders: Heavy Duty, Mill Type', 'Cylinders: Hydraulic Telescopic', 'Cylinders: Hydro-Pneumatic', 'Cylinders: Lift & Tilt', 'Cylinders: Machine Tool', 'Cylinders: Pressure', 'Cylinders: Pump, Double Acting']","['Maintenance and Repair Services', 'Power Units', 'Pumps', 'Valves', 'Hydraulic Equipment', 'Cylinders', 'Actuators', 'Automotive Parts', 'Controls and Controllers', 'Gears', 'Generators', 'Power Transmission Equipment', 'Steering Systems']",https://www.thomasnet.com/products-services.html?cov=NA&heading=21650809&what=hydraulic+cylinders&cid=10070932&search_position=10&product_family=161669,"['Allis-Chalmers', 'Caterpillar', 'Clark']",,Distributor,"Manufacturer, Custom Manufacturer","['James Hader, Pres.', 'Wayne Werner, CEO', 'Paul Piotrowski, CFO']",,,$1 - 4.9 Mil,1951,10-49,https://www.thomasnet.com/profile/10070932/hader-inc.html?cid=10070932&cov=NA&heading=21650809&searchpos=10&what=hydraulic+cylinders
